name,ra,dec,trigger_time,t90,fluence,trigger_name
GRB190804058,108.02,-64.86,58699.05796,4.224,4.4761E-07,bn190804058
GRB221103285,126.65,-51.23,59886.28494,140.290,0.000013112,bn221103285
GRB120921877,96.42,-64.77,56191.87713,5.632,2.4783E-06,bn120921877
GRB170126480,263.633,-64.7605,57779.47965,13.824,8.5363E-06,bn170126480
GRB090711850,139.61,-64.74,55023.84957,51.969,5.7921E-06,bn090711850
GRB180113418,174.63,-64.74,58131.41812,24.576,0.00016311,bn180113418
GRB091017985,214.4,-64.74,55121.98539,44.800,2.1468E-06,bn091017985
GRB081225257,234.1,-64.6,54825.2565,41.217,6.7467E-06,bn081225257
GRB101213849,260.99,-64.51,55543.84892,5.120,1.2894E-06,bn101213849
GRB230803061,158.41,-64.38,60159.06051,87.554,0.000068251,bn230803061
GRB211216282,44.36,-64.35,59564.28185,20.224,9.3273E-06,bn211216282
GRB220830319,239.77,-64.35,59821.31907,61.441,8.9214E-06,bn220830319
GRB150805445,95.76,-64.33,57239.44485,45.825,6.1044E-06,bn150805445
GRB181128129,10.27,-64.3,58450.12877,1.728,2.7689E-07,bn181128129
GRB190407575,90.53,-64.14,58580.57543,58.880,2.1343E-06,bn190407575
GRB140612294,267.38,-64.11,56820.29414,38.913,4.1045E-06,bn140612294
GRB151117442,19.64,-64.1,57343.44236,58.561,8.7776E-06,bn151117442
GRB150204272,160.241,-64.043,57057.27162,11.008,1.9351E-06,bn150204272
GRB110818860,317.337,-63.981,55791.85966,67.073,5.1538E-06,bn110818860
GRB170127067,339.33,-63.94,57780.06653,0.128,5.5868E-06,bn170127067
GRB140508179,350.53,-63.78,56785.17895,19.456,3.3351E-06,bn140508179
GRB130523198,39.49,-63.07,56435.19841,5.376,2.7096E-06,bn130523198
GRB180727594,346.665,-63.0505,58326.59408,0.896,3.9404E-07,bn180727594
GRB131105087,71.011,-62.981,56601.08673,112.642,0.000023777,bn131105087
GRB190916590,321.27,-48.9,58742.59045,37.376,0.000002958,bn190916590
GRB131030653,61.45,-62.8,56595.65308,53.248,0.00000165,bn131030653
GRB240127202,299.93,-62.79,60336.20186,0.096,1.1907E-07,bn240127202
GRB180602938,86.05,-62.78,58271.93826,0.008,2.0878E-07,bn180602938
GRB231118720,4.843,-48.035,60266.71979,5.760,7.4027E-06,bn231118720
GRB150403913,311.502,-62.7118,57115.91263,22.272,0.000054707,bn150403913
GRB140422194,164.54,-62.62,56769.19358,361.472,4.7774E-06,bn140422194
GRB081204004,63.3,-62.6,54804.00375,7.424,1.0188E-06,bn081204004
GRB080905705,301.7,-62.6,54714.7054,105.984,2.9093E-06,bn080905705
GRB200117517,129.67,-62.51,58865.51674,28.416,4.4085E-06,bn200117517
GRB141016897,221.45,-62.49,56946.89677,17.405,0.000003579,bn141016897
GRB200317028,65.54,-46.32,58925.02813,7.616,4.6594E-06,bn200317028
GRB210822273,343.45,-46.3,59448.27274,18.624,5.4743E-06,bn210822273
GRB240731597,8.65,-46.27,60522.59737,11.264,2.1867E-06,bn240731597
GRB210211363,269.437,-46.266,59256.36341,28.673,1.0622E-06,bn210211363
GRB090717034,92.41,-62.48,55029.0344,65.537,0.000023235,bn090717034
GRB121217313,153.71,-62.3505,56278.31252,828.672,6.7667E-06,bn121217313
GRB110521478,57.54,-62.34,55702.47846,6.141,3.6081E-06,bn110521478
GRB111003465,276.76,-62.32,55837.46528,16.640,0.000021043,bn111003465
GRB180625941,39.13,-62.31,58294.94076,0.704,3.2452E-07,bn180625941
GRB170906485,34.86,-62.28,58002.48492,45.568,4.3647E-07,bn170906485
GRB110929187,288.19,-62.21,55833.18673,5.120,2.1973E-06,bn110929187
GRB210603907,145.88,-62.12,59368.90727,7.936,6.8998E-07,bn210603907
GRB171004857,26.56,-62.11,58030.85666,8.192,1.3102E-06,bn171004857
GRB090427644,210,-45.7,54948.64376,1.024,2.6529E-07,bn090427644
GRB160528276,114.5,-62.11,57536.27616,7.168,7.4301E-07,bn160528276
GRB150802127,151.53,-62.08,57236.12711,313.093,0.000014592,bn150802127
GRB130406288,157.78,-62.05,56388.28823,7.936,0.000002924,bn130406288
GRB170912273,215.459,-61.9967,58008.27346,13.568,3.8202E-06,bn170912273
GRB141013803,315.06,-61.89,56943.80347,82.432,8.8092E-06,bn141013803
GRB190507712,86.22,-61.88,58610.712,0.096,1.1122E-07,bn190507712
GRB230614385,110.91,-61.88,60109.38544,14.909,5.7082E-06,bn230614385
GRB240810880,140.09,-41.4,60532.88009,1.536,1.1072E-06,bn240810880
GRB220725244,250.08,-41.4,59785.24371,0.512,8.5253E-08,bn220725244
GRB230707782,28.55,-41.29,60132.78218,99.586,0.000041448,bn230707782
GRB170727841,218.85,-61.84,57961.84095,19.200,8.7289E-07,bn170727841
GRB220726405,196.92,-61.82,59786.40471,19.456,1.5393E-06,bn220726405
GRB210119121,282.804,-61.801,59233.12095,0.048,1.8742E-07,bn210119121
GRB170112970,207.76,-61.77,57765.96955,7.360,5.6152E-07,bn170112970
GRB210228277,91.62,-41.29,59273.27675,42.753,0.000010914,bn210228277
GRB150228981,7.55,-61.73,57081.98103,36.609,0.000011531,bn150228981
GRB150206285,357.94,-61.61,57059.28485,23.296,0.000002983,bn150206285
GRB151231443,65.63,-61.54,57387.44291,71.425,0.000085926,bn151231443
GRB171025913,338.24,-61.52,58051.91311,7.936,4.0953E-07,bn171025913
GRB180822562,185.25,-61.49,58352.56151,152.003,8.1165E-06,bn180822562
