name,ra,dec,trigger_time,t90,fluence,trigger_name,log_t90,log_fluence,cluster_t90,cluster_fluence,cluster_both
GRB240504217,65.88,-5.95,60434.21728,18.944,1.9125e-05,bn240504217,1.2774717079679985,-4.718396285359461,0,0,0
GRB210309999,143.31,-5.87,59282.99855,0.512,2.7439e-07,bn210309999,-0.2907291907935876,-6.561473472794681,1,1,1
GRB110817191,336.04,-45.84,55790.19111,5.949,1.1948e-05,bn110817191,0.7744440419278976,-4.922701151211327,0,0,0
GRB141112539,17.4,-45.81,56973.53908,335.876,2.1555e-05,bn141112539,2.526178973756457,-4.666449957994623,0,0,0
GRB240817057,227.02,-45.81,60539.05704,1.728,6.1154e-07,bn240817057,0.2375439894706269,-6.213504120363667,1,1,1
GRB210801581,252.73,-45.8,59427.58147,13.824,1.5019e-05,bn210801581,1.1406337565507951,-4.823356091083149,0,0,0
GRB120701654,182.73,-45.7,56109.65403,1.024,8.3569e-08,bn120701654,0.010300380755309823,-7.077435421609211,1,1,1
GRB231122531,108.45,-5.54,60270.53082,58.113,6.6306e-06,bn231122531,1.7642733033184401,-5.178440620902938,0,0,0
GRB110228011,10.27,-45.67,55620.0111,44.481,5.1435e-06,bn110228011,1.6481745520426339,-5.288732812351973,0,0,0
GRB190607071,271.83,-45.6,58641.07135,37.888,3.5832e-06,bn190607071,1.5785016921693933,-5.445716830435498,0,0,0
GRB120926753,24.61,-45.58,56196.75318,3.072,1.8784e-07,bn120926753,0.48742135273135306,-6.72598077748067,1,1,1
GRB230112342,75.12,-5.12,59956.34204,0.16,1.7881e-07,bn230112342,-0.7958773030120456,-6.747365384287605,1,1,1
GRB221022815,118.342,-5.117,59874.81497,6.912,5.1039e-07,bn221022815,0.8396037923027886,-6.292012760898042,0,1,1
GRB120919309,214.768,-45.564,56189.30882,21.248,1.678e-05,bn120919309,1.327318078127234,-4.7752054553476775,0,0,0
GRB220120619,249.74,-45.55,59599.6194,1.28,6.9346e-07,bn220120619,0.1072103089402998,-6.158915962071944,1,1,1
GRB120319983,69.85,-45.44,56005.98269,72.448,2.4204e-06,bn120319983,1.860026406830708,-5.616094913023091,0,1,0
GRB190205938,307.61,-45.43,58519.93838,98.05,1.1403e-05,bn190205938,1.9914476024331194,-4.942977067095478,0,0,0
GRB240329905,259.7,-4.79,60398.90495,6.397,4.0626e-06,bn240329905,0.8059764186078937,-5.391185245887928,0,0,0
GRB211002338,70.21,-4.78,59489.3379,13.568,2.4343e-06,bn211002338,1.1325158669213697,-5.61360806064989,0,1,0
GRB150523396,115.286,-45.4209,57165.3957,82.433,3.3082e-05,bn150523396,1.9161011107622525,-4.480406929909557,0,0,0
GRB110511616,214.1,-45.42,55692.61612,5.888,4.8938e-07,bn110511616,0.7699678750886892,-6.310265048635281,0,1,1
GRB221107058,146.15,-45.4,59890.05755,231.428,3.7677e-05,bn221107058,2.3644159040715818,-4.423922532165419,0,0,0
GRB210725158,215.363,-1.144,59420.15768,47.104,1.2842e-06,bn210725158,1.6730577975412926,-5.891333517446029,0,1,0
GRB170301812,278.55,-45.38,57813.81159,12.544,1.0891e-06,bn170301812,1.098436079962052,-5.962892367332073,0,1,0
GRB221118575,276.46,-45.34,59901.57523,17.92,2.6999e-06,bn221118575,1.2533380295612888,-5.568636235841013,0,1,0
GRB200612201,302.702,-45.3355,59012.20114,984.084,6.7306e-05,bn200612201,2.9930321712095136,-4.171945573572654,0,0,0
GRB230804277,199.76,-45.24,60160.27704,39.936,4.4443e-06,bn230804277,1.6013645745410727,-5.352186861077897,0,0,0
GRB120323162,211.1,-45.23,56009.16168,4.352,1.4084e-06,bn120323162,0.6386889864820426,-5.851243148678208,1,1,1
